Designator,Footprint,Quantity,Value,LCSC Part #
C6,1206,1,47uF,C96123
C8,0805,1,100nF,
"D1, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,DNF
"D2, D5",LTL4221NHBP,2,LED,
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
J2,55308435_APPLEII,1,SLOT0,
J3,55308435_APPLEII,1,SLOT1,
J4,PinHeader_2x03_P2.54mm_Horizontal,1,POWER IN,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,DNF
"R1, R2",0603,2,470R,
R7,0603,1,0R,
U1,PLCC-44_THT-Socket,1,ATF1502AS,DNF
