Designator,Mid X,Mid Y,Rotation,Layer
C1,122.428,-73.66,180.0,bottom
C10,120.015,-128.59,90.0,top
C11,111.2012,-145.9484,180.0,top
C12,175.047,-110.42,180.0,top
C2,133.985,-54.29,90.0,top
C3,138.176,-107.3404,0.0,top
C4,158.9024,-82.9564,180.0,bottom
C5,180.0,-106.4,0.0,top
C6,111.887,-140.081,0.0,top
C7,167.386,-119.634,180.0,top
C8,111.887,-137.287,0.0,top
C9,163.195,-131.13,270.0,top
D1,132.6388,-145.5304,0.0,top
D2,140.1388,-145.5304,0.0,top
D3,147.6388,-145.5304,0.0,top
D4,155.1388,-145.5304,0.0,top
D5,162.6388,-145.5304,0.0,top
D6,170.1388,-145.5304,0.0,top
D7,177.6388,-145.5304,0.0,top
D8,185.1388,-145.5304,0.0,top
D9,150.114,-60.96,180.0,top
J1,105.02,-99.995,0.0,top
J2,149.0,-54.55,90.0,top
J4,177.8,-126.63,270.0,top
J5,154.0306,-126.8476,180.0,top
J6,187.32,-55.88,90.0,top
R1,132.715,-140.97,0.0,top
R10,189.865,-60.96,0.0,top
R11,139.7,-140.97,0.0,top
R12,185.65,-61.33,0.0,top
R13,141.5288,-108.4599,270.0,top
R14,157.4292,-101.5492,0.0,top
R15,111.252,-143.6116,0.0,top
R16,128.9304,-139.8524,0.0,top
R17,189.865,-122.174,90.0,top
R18,191.643,-122.174,270.0,top
R19,111.887,-57.531,0.0,top
R2,147.32,-140.97,0.0,top
R20,129.794,-52.959,180.0,top
R22,111.9075,-54.21,0.0,top
R23,195.11,-122.19,90.0,top
R24,193.37,-122.19,90.0,top
R3,154.94,-140.97,0.0,top
R4,162.56,-140.97,0.0,top
R5,170.18,-140.97,0.0,top
R6,176.53,-141.6304,180.0,top
R7,185.4962,-141.478,180.0,top
R8,143.8656,-61.214,270.0,top
R9,110.998,-130.429,180.0,top
RN1,176.53,-123.19,0.0,top
S1,121.6152,-143.3564,90.0,top
TP2,151.1808,-111.1504,90.0,top
TP3,131.445,-110.236,90.0,top
TP4,153.3652,-115.316,90.0,top
TP5,194.945,-138.43,0.0,top
TP6,177.31,-53.21,0.0,top
U1,165.481,-66.0908,0.0,top
U2,144.78,-85.09,180.0,top
U3,186.68,-83.8708,180.0,top
U4,134.62,-125.73,0.0,top
U5,123.19,-80.01,0.0,top
U6,177.8,-134.62,90.0,top
U7,187.62,-114.23,90.0,top
X1,164.445,-110.6,180.0,top
X2,139.127373,-56.527096,270.0,top
