Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C8",0805,3,100nF,
C6,1206,1,47uF,C96123
"D1, D3",LTL4221NHBP,2,LED,
"D2, D4, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4148,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
"J2, J4",PinHeader_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,DNF
"J3, J6",PinSocket_2x06_P2.54mm_Horizontal,2,Conn_02x06_Odd_Even,
"J5, J7",PinHeader_2x04_P2.54mm_Horizontal,2,VIA_SEL,
J8,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R15, R5",0603,2,4K7,
"R2, R6",0603,2,470R,
"R4, R7",0603,2,10K,
"U1, U2",PLCC-44_THT-Socket,2,ATF1504AS,DNP
U4,PLCC-44_THT-Socket,1,ATF1502AS,
