Designator,Mid X,Mid Y,Rotation,Layer
C1,186.75,-82.1,90.0,top
C2,144.05,-82.35,0.0,top
C6,112.35,-137.9,0.0,top
C8,112.27,-141.34,0.0,top
D1,174.6988,-140.5304,0.0,top
D2,153.35,-99.39,270.0,top
D3,182.1988,-140.5304,0.0,top
D4,150.35,-99.39,270.0,top
D5,111.25,-121.4,180.0,top
D6,111.3,-124.25,180.0,top
J1,102.08,-94.995,0.0,top
J3,176.83,-51.27,270.0,top
J5,156.66,-51.27,90.0,top
J6,134.46,-51.27,270.0,top
J7,114.29,-51.27,90.0,top
J8,154.73,-118.76,180.0,top
R15,125.12,-66.24,270.0,top
R2,173.45,-135.1625,90.0,top
R4,169.389999,-66.14,90.0,top
R5,167.57,-66.14,270.0,top
R6,181.0,-135.15,90.0,top
R7,127.02,-66.24,90.0,top
U1,172.13,-80.69,90.0,top
U2,129.76,-80.79,90.0,top
U4,135.74,-122.84,270.0,top
