Designator,Mid X,Mid Y,Rotation,Layer
C1,129.75,-118.775,270.0,top
C10,167.62,-75.4975,0.0,top
C11,170.7,-68.975,270.0,top
C12,141.85,-86.975,0.0,top
C13,141.15,-89.1,0.0,top
C14,142.55,-106.4,180.0,top
C15,165.1,-60.475,0.0,top
C16,161.3,-63.775,90.0,top
C17,168.05,-123.19,180.0,top
C18,143.45,-118.8,270.0,top
C19,139.25,-118.9,270.0,top
C2,121.75,-118.775,270.0,top
C20,180.15,-74.5125,180.0,top
C21,193.65,-57.8,270.0,top
C22,118.45,-105.575,180.0,top
C23,117.95,-118.775,270.0,top
C24,187.45,-85.9625,270.0,top
C25,185.45,-85.7125,90.0,top
C26,187.29,-71.1225,90.0,top
C27,189.25,-71.3125,270.0,top
C28,191.15,-59.4,270.0,top
C3,113.575,-110.2,0.0,top
C33,113.625,-113.575,0.0,top
C4,123.45,-101.2775,270.0,top
C5,140.08,-81.78,270.0,top
C6,118.955,-138.085,0.0,top
C7,156.875,-125.3,90.0,top
C8,118.25,-141.5,0.0,top
C9,167.62,-78.4975,0.0,top
J1,102.08,-94.995,0.0,top
J2,182.06,-52.95,270.0,top
R1,138.35,-87.575,90.0,top
R10,182.75,-88.1125,0.0,top
R11,180.0125,-135.925,180.0,top
R12,182.75,-86.3125,0.0,top
R13,182.75,-84.5125,180.0,top
R14,189.45,-85.9125,270.0,top
R15,191.25,-85.9125,90.0,top
R16,184.35,-68.7125,0.0,top
R17,184.3375,-70.5125,0.0,top
R18,190.95,-71.2125,270.0,top
R19,189.25,-74.7125,270.0,top
R2,137.95,-122.0,90.0,top
R20,184.35,-72.3125,180.0,top
R25,118.9,-88.7,0.0,top
R3,172.5,-135.875,180.0,top
R4,150.3,-58.17,270.0,top
R6,137.58,-81.68,90.0,top
R7,149.225,-125.3,270.0,top
R8,164.62,-80.2975,270.0,top
R9,164.62,-76.7975,270.0,top
RV1,149.9,-50.05,90.0,top
RV2,117.105,-49.95,90.0,top
RV3,164.9,-50.05,90.0,top
RV4,132.105,-49.95,90.0,top
U1,167.7,-108.84,270.0,top
U2,127.76,-111.875,180.0,top
U3,119.855,-111.875,180.0,top
U4,133.42,-96.6,180.0,top
U5,136.32,-69.87,270.0,top
U6,165.8,-68.475,0.0,top
U7,138.595,-112.35,180.0,top
U8,184.745,-78.5,0.0,top
