Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",0805,2,10uF,C15850
"C2, C3, C4, C8",0805,4,100nF,
C6,1206,1,47uF,C96123
C7,0603,1,0.1u,
"D1, D2",LTL4221NHBP,2,LED,DNF
"D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
J2,PinSocket_2x20_P2.54mm_Horizontal,1,Conn_02x20_Odd_Even,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J4, J5",PinHeader_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,DNF
J6,MTJ88ARX1FSMLG,1,MTJ-88ARX1-FSM-LG,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,
"Q7, Q8",TO-92_Inline,2,2N3904,
"R1, R11, R29, R30",0603,4,470R,C23179
"R10, R12, R14, R15, R16, R18, R2, R20, R21, R22, R23, R24, R25, R26, R3, R46, R5, R8",0603,18,4.7K,DNF
"R13, R17, R19, R4, R6, R9",0603,6,1.8K,DNF
"R27, R28",0603,2,10K,C25890
R7,0603,1,3K3,C25890
U1,DIP-40_W15.24mm,1,ATmega644P-20P,
U2,PLCC-44_THT-Socket,1,ATF1502AS,DNF
U21,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
X2,Oscillator_DIP-8,1,CXO_DIP8,DNF
