Designator,Mid X,Mid Y,Rotation,Layer
C1,176.75,-57.45,0.0,top
C11,181.186285,-57.443797,180.0,top
C2,138.7,-142.9,0.0,top
C3,140.5,-78.4,270.0,top
C4,151.85,-125.6,90.0,top
C6,112.975,-140.0,180.0,top
C7,140.519912,-92.74646,90.0,top
C8,113.055,-136.56,180.0,top
D1,175.83,-140.55,0.0,top
D2,183.33,-140.55,0.0,top
D3,111.15,-124.25,180.0,top
D4,111.149638,-121.592766,180.0,top
J1,102.08,-94.995,0.0,top
J2,188.382987,-88.292987,180.0,top
J3,118.598475,-77.149825,180.0,top
J4,130.1,-49.03,90.0,top
J5,158.92,-125.28,180.0,top
J6,162.622081,-54.709594,180.0,top
Q1,147.71,-100.46,90.0,top
Q2,176.8625,-72.5,0.0,top
Q3,167.8,-103.2375,90.0,top
Q4,172.435,-97.355,270.0,top
Q5,176.02,-111.27,180.0,top
Q6,153.3,-104.0625,90.0,top
Q7,167.21,-65.05,90.0,top
Q8,155.7,-65.22,90.0,top
R1,169.7,-140.5,180.0,top
R10,181.661643,-104.466374,180.0,top
R11,187.275,-135.475,90.0,top
R12,144.85,-100.55,270.0,top
R13,181.775,-66.1,270.0,top
R14,183.55,-66.125,90.0,top
R15,179.925,-72.55,90.0,top
R16,176.775,-69.75,180.0,top
R17,182.575,-97.45,0.0,top
R18,182.541024,-99.053025,180.0,top
R19,182.575,-91.5,0.0,top
R2,153.35,-101.15,180.0,top
R20,182.55,-93.16,180.0,top
R21,167.825,-100.3,180.0,top
R22,165.02,-103.3425,270.0,top
R23,172.425,-100.2,0.0,top
R24,175.175,-97.275,90.0,top
R25,173.075,-111.3,270.0,top
R26,176.175,-113.95,0.0,top
R27,159.0,-64.3,90.0,top
R28,163.5,-64.05,90.0,top
R29,175.25,-61.35,0.0,top
R3,150.55,-104.1,270.0,top
R30,151.04,-58.52,90.0,top
R4,176.0,-103.4,90.0,top
R46,147.7,-97.6,180.0,top
R5,177.638086,-103.395311,270.0,top
R6,176.037701,-106.525441,270.0,top
R7,157.191236,-94.435084,90.0,top
R8,177.65,-106.525,90.0,top
R9,181.642583,-106.147046,0.0,top
U1,130.204711,-80.970746,0.0,top
U2,136.55,-128.9,270.0,top
U21,179.0,-52.0,180.0,top
X2,148.748258,-89.696488,90.0,top
