Designator,Footprint,Quantity,Value,LCSC Part #
C4,0603,1,100nF 100V,C113803
"C5, C66",0603,2,1uF,C15849
C6,0805,1,100nF,C49678
C7,0603,1,0.1uF,C113803
C8,1206,1,47uF,C96123
D6,SOT65P210X110-3N,1,ESDA25W,C2935152
D7,D_SOD-323,1,BAT60A,C5355496
J2,694106301002_1,1,694106301002,DNF
"K1, K2",G6RL1DC24,2,G6RL-1_DC24,DNF
Q1,STL20N6F7,1,STL9P3LLH6,C2969828
R1,0603,1,2K2,C4190
"R10, R20",0402,2,1K,C11702
"R11, R12, R18, R19",0402,4,5K1,C25905
"R13, R9",0402,2,100K,C25741
R14,0402,1,22K,C25768
R17,0402,1,100R,C25076
"R2, R7",0603,2,470R,C23179
R8,0402,1,330R,C25104
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STUSB4500QTR,C2678061
