Designator,Mid X,Mid Y,Rotation,Layer
C4,184.775,-50.6,0.0,top
C5,184.55,-72.2,0.0,top
C6,114.14,-134.155,270.0,top
C66,184.55,-68.3,0.0,top
C7,184.5,-63.1,270.0,top
C8,110.7,-134.075,270.0,top
D6,177.15,-56.75,270.0,top
D7,184.6,-70.25,0.0,top
J2,113.96,-52.25,270.0,top
K1,140.15,-98.83,0.0,top
K2,140.15,-111.99,0.0,top
Q1,184.475,-59.075,270.0,top
R1,173.5,-135.3,90.0,top
R10,179.6,-75.85,0.0,top
R11,172.75,-72.0,0.0,top
R12,172.75,-73.3,0.0,top
R13,181.65,-62.65,270.0,top
R14,178.15,-77.25,180.0,top
R17,182.95,-62.6,90.0,top
R18,172.76,-68.75,180.0,top
R19,172.76,-69.9,180.0,top
R2,180.85,-135.35,90.0,top
R20,186.65,-63.6,90.0,top
R7,166.0,-135.45,90.0,top
R8,184.5,-49.05,180.0,top
R9,172.75,-67.2,0.0,top
U2,177.3625,-70.75,0.0,top
