Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0805,3,100nF,
C8,1206,1,47uF,C96123
"D1, D3",LTL4221NHBP,2,LED,DNF
"D4, D5",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
J2,SD-SMD_CFH-L3C1LBL01MN0,1,Conn_02x26_Top_Bottom,C444350
J3,PinHeader_2x02_P2.54mm_Horizontal,1,CLK_SLOW,DNF
J99,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,DNF
"R1, R2, R3, R6, R8",0603,5,1K,
R10,0603,1,0R,
"R4, R7",0603,2,470R,
U1,PLCC-44_THT-Socket,1,ATF1502AS,DNP
