Designator,Mid X,Mid Y,Rotation,Layer
C1,144.55,-104.65,0.0,top
C2,149.15,-73.05,270.0,bottom
C6,113.6,-135.45,270.0,top
C8,109.81,-135.97,270.0,top
D1,174.58,-140.55,0.0,top
D3,182.08,-140.6,0.0,top
D4,110.6,-61.84,270.0,top
D5,113.8,-61.79,270.0,top
J1,102.08,-94.995,0.0,top
J2,143.55,-113.6115,0.0,top
J3,119.145,-56.94,90.0,top
J99,172.045,-73.75,0.0,top
R1,136.3,-98.05,90.0,top
R10,148.45,-98.1,90.0,top
R2,151.59,-98.0125,90.0,top
R3,154.1,-98.0125,90.0,top
R4,173.3,-135.2375,90.0,top
R6,141.4,-98.05,90.0,top
R7,180.83,-135.2375,90.0,top
R8,156.75,-98.05,90.0,top
U1,150.4,-76.05,0.0,top
