Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C2, C4, C5, C7, C9",0603,11,100nF,
"C12, C6",1206,2,47uF,C96123
C3,0805,1,1uF 10V,
C8,0805,1,100nF,
"D1, D2, D5",LTL4221NHBP,3,LED,DNF
"D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,
"J3, J6, J7",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
J4,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,DNF
"R1, R14, R2, R3",0603,4,10K,C25744
"R11, R4, R6",0603,3,470R,C23179
R22,0603,1,3K3,C25890
R5,0603,1,2K2,
TP1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,TestPoint,DNF
"U1, U3, U4, U5, U6",SOT-23-5,5,SN74LVC1G125DBV,
U11,DIP-28_W15.24mm,1,IMSC011,
U2,PLCC-44_THT-Socket,1,ATF1502AS,DNF
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,SN74LVC245APW,
U8,TRAM,1,TRAM,
Y1,Oscillator_DIP-8,1,CXO_DIP8,
