Designator,Mid X,Mid Y,Rotation,Layer
C1,117.1,-123.2,180.0,top
C10,155.625,-67.4,180.0,top
C11,156.802873,-62.267994,0.0,top
C12,177.36,-56.23,270.0,top
C13,175.12,-56.11,270.0,top
C14,143.6,-56.5,0.0,top
C15,116.3,-61.5,90.0,top
C2,146.69177,-118.159729,0.0,top
C3,142.9,-59.5,270.0,top
C4,147.375,-103.0,0.0,top
C5,128.2,-55.2,180.0,top
C6,112.31,-139.49,270.0,top
C7,149.675,-80.7,180.0,top
C8,108.87,-139.41,270.0,top
C9,149.827873,-60.767994,180.0,top
D1,183.27,-140.55,0.0,top
D2,175.77,-140.544772,0.0,top
D3,130.595707,-138.491377,180.0,top
D4,134.69,-134.95,180.0,top
D5,168.27,-140.55,0.0,top
J1,102.08,-94.995,0.0,top
J2,114.16,-55.2,90.0,top
J3,127.375499,-48.736395,90.0,top
J4,147.066285,-50.018167,90.0,top
J5,150.67,-129.94,0.0,top
J6,146.8,-73.56,180.0,top
J7,151.365692,-73.566848,180.0,top
R1,134.265,-52.595,90.0,top
R11,161.2,-141.6,180.0,top
R14,125.995499,-51.786395,180.0,top
R2,146.6,-84.0,90.0,top
R22,143.8125,-65.5,180.0,top
R3,156.525,-73.8,180.0,top
R4,161.2,-143.3,180.0,top
R5,157.602873,-59.592994,270.0,top
R6,161.191855,-139.875548,180.0,top
TP1,192.06,-60.42,0.0,top
U1,131.0375,-52.65,0.0,top
U11,132.69,-74.38,0.0,top
U2,131.97,-119.44,0.0,top
U3,151.742873,-63.962994,270.0,top
U4,157.425,-70.6,270.0,top
U5,154.802873,-58.992994,90.0,top
U6,150.6,-83.8,270.0,top
U7,113.4775,-67.235,270.0,top
U8,172.7,-90.77,270.0,top
Y1,150.54,-94.94,90.0,top
