Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C8",0805,3,100nF,
"C3, C6",1206,2,47uF,C96123
D1,LTL4221NHBP,1,LED,
D9,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
FOX1,Fox_avatar_18mm,1,SYM_Flash_Large,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,BUS,DNF
"J2, J3",PinSocket_2x06_P2.54mm_Horizontal,2,Conn_02x06_Odd_Even,
J4,PinSocket_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
J5,PinHeader_2x04_P2.54mm_Horizontal,1,VIA_SEL,
J8,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
R1,0603,1,470R,
"R15, R2, R3, R4, R5",0603,5,4K7,
"TP5, TP6",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,TestPoint,
U1,DIP-40_W15.24mm,1,W65C22NxP,
U4,PLCC-44_THT-Socket,1,ATF1502AS,
