Designator,Mid X,Mid Y,Rotation,Layer
C1,142.9,-109.25,90.0,top
C2,147.11,-128.61,0.0,top
C3,182.35,-57.1,180.0,top
C6,114.99,-134.98,270.0,top
C8,111.55,-134.9,270.0,top
D1,182.06,-140.52,0.0,top
D9,157.04,-113.75,180.0,top
J1,102.08,-94.995,0.0,top
J2,153.93,-51.27,270.0,top
J3,176.65,-51.27,270.0,top
J4,133.79,-51.27,270.0,top
J5,116.21,-50.43,90.0,top
J8,154.36,-130.61,180.0,top
R1,181.7025,-136.4675,0.0,top
R15,164.2,-103.85,270.0,top
R2,125.775,-87.5,180.0,top
R3,125.7625,-84.9,180.0,top
R4,125.6625,-79.9,180.0,top
R5,125.775,-82.4,180.0,top
TP5,111.42,-141.65,0.0,top
TP6,192.06,-58.73,90.0,top
U1,153.2,-86.08,0.0,top
U4,132.08,-129.65,0.0,top
