Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C8, C98, C99",0805,5,100nF,C49678
C6,1206,1,47uF,C96123
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-123,64,1N4148W,C2099
"D73, D74",LED_D5.0mm,2,LED,DNF
DS1,DIPS1524W64P254L7087H685Q28N,1,HDSP-2503,DNF
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,6,MountingHole_Pad,DNF
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,DNF
J6,MTJ88ARX1FSMLG,1,MTJ-88ARX1-FSM-LG,DNF
"Q7, Q8",TO-92_Inline,2,2N3904,DNF
"R1, R27, R28",0603,3,10K,DNF
"R2, R29, R3, R30",0603,4,470R,DNF
R7,0603,1,3K3,DNF
RN1,R_Array_SIP9,1,10K,DNF
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW49, SW5, SW50, SW51, SW52, SW54, SW56, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,60,SW_Push,DNF
SW48,SW_Cherry_MX_6.25u_PCB,1,SW_Push,DNF
"SW53, SW65",SW_Cherry_MX_2.00u_PCB,2,SW_Push,DNF
SW55,SW_Cherry_MX_ISOEnter_PCB,1,SW_Push,DNF
SW57,SW_Cherry_MX_1.50u_PCB,1,SW_Push,DNF
U1,DIP-40_W15.24mm,1,ATmega644P-20P,DNF
U2,DIP-16_W7.62mm,1,74HC238,DNF
X2,Oscillator_DIP-8,1,CXO_DIP8,DNF
