Designator,Mid X,Mid Y,Rotation,Layer
C1,406.0,-243.65,90.0,bottom
C5,482.2,-200.1,180.0,bottom
C6,498.5,-188.0,180.0,top
C8,499.0,-185.5,180.0,top
C98,442.6,-215.7,270.0,top
C99,438.999606,-242.2,180.0,bottom
D1,177.35,-235.275,0.0,bottom
D10,290.75,-235.475,0.0,bottom
D11,309.95,-235.275,0.0,bottom
D12,329.0,-235.5,0.0,bottom
D13,299.85,-254.475,0.0,bottom
D14,280.85,-254.475,0.0,bottom
D15,324.310471,-216.269232,0.0,bottom
D16,343.109189,-216.269232,0.0,bottom
D17,172.1,-216.275,0.0,bottom
D18,267.1,-216.275,0.0,bottom
D19,228.9,-216.475,0.0,bottom
D2,262.05,-254.275,0.0,bottom
D20,185.85,-254.075,0.0,bottom
D21,196.15,-235.275,0.0,bottom
D22,333.6,-197.275,0.0,bottom
D23,248.0,-216.5,0.0,bottom
D24,162.5,-197.5,0.0,bottom
D25,286.0,-216.5,0.0,bottom
D26,182.0,-197.5,0.0,bottom
D27,242.5,-254.5,0.0,bottom
D28,200.5,-197.5,0.0,bottom
D29,191.0,-216.5,0.0,bottom
D3,223.85,-254.275,0.0,bottom
D30,219.5,-197.5,0.0,bottom
D31,204.5,-254.5,0.0,bottom
D32,238.5,-197.5,0.0,bottom
D33,257.5,-197.5,0.0,bottom
D34,347.5,-235.5,0.0,bottom
D35,276.5,-197.5,0.0,bottom
D36,367.0,-235.5,0.0,bottom
D37,295.5,-197.5,0.0,bottom
D38,386.0,-235.5,0.0,bottom
D39,314.5,-197.5,0.0,bottom
D4,214.95,-235.275,0.0,bottom
D40,318.5,-254.5,0.0,bottom
D41,351.9536,-197.497201,0.0,bottom
D42,337.5,-254.5,0.0,bottom
D43,371.0,-197.5,0.0,bottom
D44,356.5,-254.5,0.0,bottom
D45,362.0,-216.5,0.0,bottom
D46,167.0,-254.5,0.0,bottom
D47,381.0,-216.5,0.0,bottom
D48,261.5,-273.5,0.0,bottom
D49,461.0,-254.5,0.0,bottom
D5,210.1,-216.475,0.0,bottom
D50,461.47766,-273.467353,0.0,bottom
D51,442.0,-264.0,0.0,bottom
D52,480.0,-264.0,0.0,bottom
D53,400.5,-197.5,0.0,bottom
D54,461.0,-226.0,0.0,bottom
D55,406.273062,-225.96664,0.0,bottom
D56,142.497018,-196.991225,0.0,bottom
D57,147.555332,-216.478491,0.0,bottom
D58,146.95,-254.5,0.0,bottom
D59,147.5,-273.5,0.0,bottom
D6,234.15,-235.275,0.0,bottom
D60,176.5,-273.5,0.0,bottom
D61,515.74,-197.37,90.0,bottom
D62,516.07,-216.47,90.0,bottom
D63,515.97,-235.47,90.0,bottom
D64,515.93,-254.6175,90.0,bottom
D7,253.15,-235.475,0.0,bottom
D73,144.245,-230.0,0.0,top
D74,518.995,-268.0,0.0,top
D8,271.95,-235.275,0.0,bottom
D9,304.9,-216.475,0.0,bottom
DS1,461.996685,-192.41511,90.0,top
J4,446.718032,-213.284803,0.0,bottom
J6,496.35,-192.62,180.0,bottom
Q7,491.0,-203.0,90.0,bottom
Q8,503.5,-203.5,90.0,bottom
R1,442.598463,-212.253959,270.0,top
R2,149.8,-231.0,90.0,top
R27,495.5,-197.0,90.0,top
R28,498.0,-197.0875,90.0,top
R29,489.5,-195.0875,90.0,top
R3,524.0,-267.0,270.0,top
R30,501.0,-194.0,90.0,top
R7,438.0,-246.5,270.0,bottom
RN1,421.201539,-228.497594,90.0,bottom
SW1,177.46,-227.99,0.0,top
SW10,291.46,-227.99,0.0,top
SW11,310.46,-227.99,0.0,top
SW12,329.46,-227.99,0.0,top
SW13,300.46,-246.99,0.0,top
SW14,281.46,-246.99,0.0,top
SW15,324.71,-208.99,0.0,top
SW16,343.71,-208.99,0.0,top
SW17,172.71,-208.99,0.0,top
SW18,267.71,-208.99,0.0,top
SW19,229.71,-208.99,0.0,top
SW2,262.46,-246.99,0.0,top
SW20,186.46,-246.99,0.0,top
SW21,196.46,-227.99,0.0,top
SW22,334.21,-189.99,0.0,top
SW23,248.71,-208.99,0.0,top
SW24,163.21,-189.99,0.0,top
SW25,286.71,-208.99,0.0,top
SW26,182.21,-189.99,0.0,top
SW27,243.46,-246.99,0.0,top
SW28,201.21,-189.99,0.0,top
SW29,191.71,-208.99,0.0,top
SW3,224.46,-246.99,0.0,top
SW30,220.21,-189.99,0.0,top
SW31,205.46,-246.99,0.0,top
SW32,239.21,-189.99,0.0,top
SW33,258.21,-189.99,0.0,top
SW34,348.46,-227.99,0.0,top
SW35,277.21,-189.99,0.0,top
SW36,367.46,-227.99,0.0,top
SW37,296.21,-189.99,0.0,top
SW38,386.46,-227.99,0.0,top
SW39,315.21,-189.99,0.0,top
SW4,215.46,-227.99,0.0,top
SW40,319.46,-246.99,0.0,top
SW41,353.21,-189.99,0.0,top
SW42,338.46,-246.99,0.0,top
SW43,372.21,-189.99,0.0,top
SW44,357.46,-246.99,0.0,top
SW45,362.71,-208.99,0.0,top
SW46,167.46,-246.99,0.0,top
SW47,381.71,-208.99,0.0,top
SW48,262.46,-268.9375,0.0,top
SW49,461.96,-246.99,0.0,top
SW5,210.71,-208.99,0.0,top
SW50,461.96,-265.99,0.0,top
SW51,442.96,-256.49,0.0,top
SW52,480.96,-256.49,0.0,top
SW53,400.753495,-192.966729,0.0,top
SW54,461.96,-218.49,0.0,top
SW55,408.79641,-220.597561,0.0,top
SW56,144.21,-189.99,0.0,top
SW57,148.96,-208.99,0.0,top
SW58,148.41,-246.99,0.0,top
SW59,148.46,-265.99,0.0,top
SW6,234.46,-227.99,0.0,top
SW60,177.46,-265.99,0.0,top
SW61,518.96,-189.99,0.0,top
SW62,518.96,-208.99,0.0,top
SW63,518.96,-227.99,0.0,top
SW64,518.96,-246.99,0.0,top
SW65,385.96,-249.9375,0.0,top
SW7,253.46,-227.99,0.0,top
SW8,272.46,-227.99,0.0,top
SW9,305.71,-208.99,0.0,top
U1,432.701539,-211.992594,180.0,bottom
U2,409.69,-256.81,0.0,bottom
X2,430.095393,-245.969205,0.0,bottom
